Id,ic50_Omicron
1,90.8903886387709
2,88.2310499200049
3,90.8903886387709
4,90.8903886387709
5,88.2310499200049
6,88.2310499200049
7,88.2310499200049
8,88.2310499200049
9,88.2310499200049
10,88.2310499200049
11,88.2310499200049
12,88.2310499200049
13,88.2310499200049
14,88.2310499200049
15,90.8903886387709
16,90.8903886387709
17,88.2310499200049
18,88.2310499200049
19,90.8903886387709
20,88.2310499200049
21,88.2310499200049
22,86.9980290243376
23,83.010740161079
24,88.2310499200049
25,83.010740161079
26,88.2310499200049
27,88.2310499200049
28,88.2310499200049
29,83.010740161079
30,88.2310499200049
31,88.2310499200049
32,88.2310499200049
33,88.2310499200049
34,90.8903886387709
35,90.8903886387709
36,88.2310499200049
37,88.2310499200049
38,83.010740161079
39,90.8903886387709
40,90.8903886387709
41,83.010740161079
42,88.2310499200049
43,88.2310499200049
44,83.010740161079
45,88.2310499200049
46,83.010740161079
47,90.8903886387709
48,86.9980290243376
49,88.2310499200049
50,88.2310499200049
51,86.9980290243376
52,88.2310499200049
53,88.2310499200049
54,83.010740161079
55,88.2310499200049
56,88.2310499200049
57,83.010740161079
58,90.8903886387709
59,88.2310499200049
60,90.8903886387709
61,88.2310499200049
62,88.2310499200049
63,88.2310499200049
64,90.8903886387709
65,88.2310499200049
66,83.010740161079
67,88.2310499200049
68,88.2310499200049
69,83.010740161079
70,88.2310499200049
71,90.8903886387709
72,90.8903886387709
73,88.2310499200049
74,83.010740161079
75,88.2310499200049
76,88.2310499200049
77,90.8903886387709
78,90.8903886387709
79,88.2310499200049
80,88.2310499200049
81,88.2310499200049
82,86.9980290243376
83,88.2310499200049
84,90.8903886387709
85,88.2310499200049
86,90.8903886387709
87,88.2310499200049
88,88.2310499200049
89,90.8903886387709
90,90.8903886387709
91,83.010740161079
92,88.2310499200049
93,86.9980290243376
94,88.2310499200049
95,88.2310499200049
96,88.2310499200049
97,83.010740161079
98,86.9980290243376
99,90.8903886387709
100,88.2310499200049
101,88.2310499200049
102,90.8903886387709
103,88.2310499200049
104,90.8903886387709
105,83.010740161079
106,83.010740161079
107,90.8903886387709
108,88.2310499200049
109,88.2310499200049
110,90.8903886387709
111,90.8903886387709
112,83.010740161079
