id,breed_1,breed_2,breed_3,breed_4
sample_1,0.00468405821192605,0.000874264893151384,0.994441676272923,6.21999397594479e-10
sample_2,0.000248119100120198,0.00486027143158197,0.994891609416463,5.18349258803527e-11
sample_3,0.0338148330558717,0.00101199997203264,0.965173162333115,4.63898044400972e-09
sample_4,0.135135746596189,0.000751549730843112,0.864112670087796,3.35851721457015e-08
sample_5,8.42328615799488e-05,0.9973733264749,0.00254244065996857,3.55104444293428e-12
sample_6,7.56081447342988e-06,4.82348443197341e-09,2.8515276657562e-06,0.999989582834376
sample_7,8.66484859504928e-05,1.66948468010018e-05,0.999896656553767,1.134818891517e-10
sample_8,5.65602485800448e-07,3.77014078891128e-10,1.10584603219549e-07,0.999999323435897
sample_9,0.000997497024451856,0.984414321591555,0.0145881813624095,2.15831554355852e-11
sample_10,0.000228292589107824,0.999358996858122,0.000412710550090656,2.67983235386608e-12
sample_11,0.99983877510409,1.30212159304088e-05,0.00014780976003574,3.93919944049254e-07
sample_12,9.00196970255191e-07,6.58746240041758e-10,1.46180570257865e-07,0.999998952963713
sample_13,1.4954943250288e-06,1.03048929963407e-09,1.93146486094551e-07,0.9999983103287
sample_14,0.000101318948298987,0.999880274130959,1.84069196117605e-05,1.13046771868064e-12
sample_15,0.0611546464190858,0.497154105469067,0.441691247189286,9.2256089197657e-10
sample_16,2.5622202044514e-05,0.999613171780896,0.000361206016052139,1.0075214288183e-12
sample_17,0.000232046035962904,7.93703113513779e-06,0.999760015402682,1.53021956008717e-09
sample_18,0.000168538028508708,0.99474032758192,0.00509113438339007,6.18147805858936e-12
sample_19,0.999881227330119,1.26973717081474e-05,0.000105925148168723,1.50150004030015e-07
sample_20,5.61823692593565e-05,0.999433306841327,0.000510510787920014,1.49306476067001e-12
sample_21,6.95934747507467e-07,3.43477640294721e-10,9.96495497125091e-08,0.999999204072225
sample_22,0.994114506400074,0.000131563068121597,0.00575385872974576,7.18020583646952e-08
sample_23,0.999637305383809,0.000330788432511014,3.19058678769492e-05,3.158029485659e-10
sample_24,0.000251041283903483,1.14929870998347e-05,0.999737465127284,6.01712183806511e-10
sample_25,9.28501011686072e-06,0.999939354025478,5.13609640506239e-05,3.54155955963448e-13
sample_26,6.69965354465367e-05,2.46894075560098e-05,0.999908313971393,8.56039864437511e-11
sample_27,0.000281342493338489,1.17896382457992e-05,0.999706867182606,6.85809344665685e-10
sample_28,0.983592794751249,0.000125058128097742,0.016281743033277,4.04087376356212e-07
sample_29,0.997340165523491,0.00259286216524033,6.6972040197221e-05,2.710716031139e-10
sample_30,0.988541407390229,0.00224365519981171,0.00921493288800919,4.52195038839683e-09
sample_31,0.000274104702827086,0.999657077648467,6.881764690437e-05,1.80184541060051e-12
sample_32,0.000259968500532136,0.997248380301858,0.00249165119208453,5.52490663625523e-12
sample_33,6.92676428255778e-05,0.999548115471813,0.000382616883909987,1.4516702332277e-12
sample_34,0.000766335574995306,0.0159449013044947,0.983288763034384,8.61263158498223e-11
sample_35,2.62966322536137e-05,7.46651137461912e-09,2.67529601278174e-06,0.999971020605222
sample_36,3.93225132688405e-06,3.5956672696131e-09,6.17224286310078e-07,0.99999544692872
sample_37,7.24410756312517e-06,0.999947285335455,4.54705564981608e-05,4.83419895163693e-13
sample_38,0.999921785746787,1.15496494337478e-05,6.65339536243617e-05,1.30650154563731e-07
sample_39,0.99993382642432,1.32343062948473e-05,5.2913931585163e-05,2.53377997195272e-08
sample_40,0.000197363809528271,8.05763499937229e-06,0.99979457747039,1.08508247107982e-09
sample_41,8.82405133228269e-05,1.32354172011714e-05,0.999898523914988,1.54487962110563e-10
sample_42,3.04779760674807e-05,0.999162936051829,0.000806585970497316,1.6060183609626e-12
sample_43,0.000122673749668472,1.20364866457347e-05,0.99986528954,2.23685710313983e-10
sample_44,6.22794690686065e-05,0.997824765591581,0.00211295493633803,3.01225585367409e-12
sample_45,0.999957505844379,1.27193642376551e-05,2.97598857237852e-05,1.49056596591634e-08
sample_46,8.18333266133841e-06,0.999972394773312,1.94218937317471e-05,2.95000144195143e-13
sample_47,0.999369567491963,0.000270752350140249,0.00035967852783047,1.63006662861272e-09
sample_48,0.999922779159351,4.243229602086e-05,3.47872418619764e-05,1.30276619617187e-09
sample_49,0.000333235888396159,0.00132785222440496,0.998338911827014,6.01845962671332e-11
sample_50,5.12508952311382e-06,3.53979675853564e-09,5.25527111407057e-07,0.999994345843569
sample_51,0.000417445695023098,8.31554291431424e-05,0.999499398702245,1.73588818418006e-10
sample_52,0.999966992731845,1.4553591912566e-05,1.84455358986827e-05,8.14034363002329e-09
sample_53,0.999862267496282,3.28691347995391e-05,0.000104857708934034,5.65998437098288e-09
sample_54,0.999903880821005,7.64768779965602e-05,1.96417598944609e-05,5.41103973999326e-10
sample_55,0.999926412844532,5.76633552542017e-05,1.59231663818011e-05,6.33831868205717e-10
sample_56,0.999439351126618,0.000534503064650954,2.61455145803671e-05,2.94150261437527e-10
sample_57,0.999882562407693,8.71891650538998e-05,3.02478226439034e-05,6.04609091291274e-10
sample_58,0.997564661264979,2.97152928276631e-05,0.00239624974999978,9.37369219361621e-06
sample_59,0.999595020444446,0.000336750002353542,6.82291104844049e-05,4.427163034776e-10
sample_60,9.43548451925428e-06,0.999968307145654,2.22573693227767e-05,5.03473908200348e-13
sample_61,0.999889804126462,2.78192005080418e-05,8.23708942556852e-05,5.77877427542894e-09
sample_62,0.999855872537974,1.37688320616081e-05,0.000130223219664306,1.35410299776891e-07
sample_63,0.999537417129326,1.91060556194149e-05,0.000442989317638618,4.87497416430796e-07
sample_64,3.02177552918329e-06,2.20252491564049e-09,3.61896743223007e-07,0.999996614125203
sample_65,0.999929432703761,1.27265299589654e-05,5.78046021209312e-05,3.61641591671008e-08
sample_66,0.997399660603341,0.00229112745084981,0.000309211433492835,5.12316256190592e-10
sample_67,9.47866617795724e-05,0.995966073100954,0.00393914023268149,4.58468772208243e-12
sample_68,7.53390619667269e-07,3.89355287757037e-10,1.31486819296042e-07,0.999999114733206
sample_69,0.991875602597384,0.00760916254437179,0.000515234358795069,4.99448818491482e-10
sample_70,0.00014034252302753,0.99980955482713,5.01026487009256e-05,1.14185710981545e-12
sample_71,0.00584617892372534,3.08836866109903e-05,0.99412289964215,3.77475137338931e-08
sample_72,0.999869739673221,3.81194019216921e-05,9.21371186043673e-05,3.80625322014254e-09
sample_73,7.2225439804092e-05,8.01267659206787e-05,0.999847647750457,4.3818223763512e-11
sample_74,0.999942209737238,1.76819549833432e-05,4.01017687111395e-05,6.53906698908281e-09
sample_75,3.42448697586433e-05,0.999912225164638,5.35299650610154e-05,5.42219201751744e-13
sample_76,0.00070586827507356,8.25622544177641e-05,0.999211569160731,3.09777304194715e-10
sample_77,0.00185650893360243,2.35563069415176e-05,0.998119929235731,5.52372466459314e-09
sample_78,0.0001476571755319,0.999826611291271,2.57315320267672e-05,1.17007005695411e-12
sample_79,0.998986095795315,2.33280172212985e-05,0.000988793921447217,1.78226601612256e-06
sample_80,0.999529716786776,3.43039811729303e-05,0.000435941507559146,3.77244913688102e-08
